loan_amnt,int_rate,term,installment,grade,sub_grade,purpose,annual_inc,dti,home_ownership,addr_state,delinq_2yrs,inq_last_6mths,revol_util,open_acc,total_acc,earliest_cr_line,loan_status,total_pymnt,total_rec_prncp,recoveries,issue_d,Employment_length
35000,12.12, 36 months,1164.51,B,B3,debt_consolidation,90000.0,3.51,RENT,TX,0.0,0.0,8.1,14.0,22.0,Nov-1997,Fully Paid,36606.09,35000.0,0.0,Jun-2013,0
30000,10.75, 60 months,648.54,B,B4,credit_card,100000.0,22.85,RENT,TX,0.0,2.0,52.7,17.0,25.0,Jun-2011,Current,22115.61,15012.34,0.0,Apr-2016,2
15000,7.49, 36 months,466.53,A,A4,small_business,100000.0,6.71,OWN,MD,0.0,0.0,10.3,16.0,25.0,Apr-1996,Fully Paid,16052.0529426592,15000.0,0.0,Oct-2016,5
24000,21.15, 60 months,651.31,E,E2,debt_consolidation,58000.0,15.5,RENT,NC,0.0,0.0,72.2,10.0,15.0,Aug-1998,Fully Paid,39078.3232394871,24000.0,0.0,Sep-2013,5
14400,8.59, 36 months,455.18,A,A5,debt_consolidation,90000.0,19.88,MORTGAGE,MO,0.0,0.0,49.9,19.0,48.0,Dec-2003,Current,13648.53,11736.32,0.0,Aug-2016,3
5000,9.93, 36 months,161.18,B,B2,credit_card,46750.0,11.09,RENT,NJ,0.0,1.0,13.2,8.0,11.0,Nov-2000,Fully Paid,5064.7924929831,5000.0,0.0,Dec-2017,0
25600,8.81, 60 months,529.06,A,A5,credit_card,35000.0,14.09,MORTGAGE,GA,0.0,0.0,76.0,4.0,9.0,Apr-2003,Current,1574.65,1030.87,0.0,Nov-2018,1
6550,24.74, 36 months,259.53,E,E3,other,42000.0,18.71,MORTGAGE,OH,0.0,3.0,60.9,3.0,8.0,Nov-2006,Fully Paid,8459.3397341582,6550.0,0.0,Mar-2017,9
12000,14.33, 36 months,412.06,C,C1,debt_consolidation,107499.0,1.55,MORTGAGE,IL,0.0,1.0,72.6,4.0,12.0,Jul-1993,Fully Paid,14827.3269855467,12000.0,0.0,Apr-2013,10
21000,17.99, 36 months,759.1,D,D2,debt_consolidation,85000.0,11.98,RENT,CA,2.0,0.0,2.6,10.0,19.0,Mar-2007,Current,22049.64,15988.37,0.0,Sep-2016,3
15500,19.99, 60 months,410.57,D,D4,debt_consolidation,77500.0,19.09,MORTGAGE,MD,0.0,0.0,74.6,9.0,27.0,Dec-2002,Current,11889.32,5621.82,0.0,Sep-2016,5
14750,24.99, 60 months,432.85,F,F4,debt_consolidation,160000.0,11.04,RENT,FL,0.0,2.0,40.8,26.0,53.0,Jun-1997,Charged Off,11755.71,3862.18,1497.87,Apr-2015,10
