loan_amnt,int_rate,installment,sub_grade,issue_d,issue_d_year,issue_d_month,annual_inc,dti,emp_length_years,addr_state,revol_bal,revol_util,credit_history_age_months,total_pymnt,total_rec_int,recoveries,last_pymnt_d,last_pymnt_amnt,payment_to_loan_ratio,income_to_loan_ratio,grade_ord,sub_grade_ord,loan_status_binary
35000,12.12,1164.51,7,1970-01-01 00:00:00.000000069,2013,6,90000.0,3.51,0.0,42,1347,8.1,187.0,36606.09,1606.09,0.0,1970-01-01 00:00:00.000000019,4783.54,1.0458882857142855,2.571428571428572,6.0,8.0,0
30000,10.75,648.54,8,1970-01-01 00:00:00.000000008,2016,4,100000.0,22.85,2.0,42,29780,52.7,58.0,22115.61,7103.27,0.0,1970-01-01 00:00:00.000000032,648.54,0.737187,3.333333333333333,6.0,9.0,0
15000,7.49,466.53,3,1970-01-01 00:00:00.000000113,2016,10,100000.0,6.71,5.0,19,7425,10.3,246.0,16052.0529426592,1052.05,0.0,1970-01-01 00:00:00.000000085,10466.17,1.0701368628439467,6.666666666666667,7.0,4.0,0
24000,21.15,651.31,21,1970-01-01 00:00:00.000000120,2013,9,58000.0,15.5,5.0,26,24123,72.2,181.0,39078.3232394871,15078.32,0.0,1970-01-01 00:00:00.000000105,651.03,1.6282634683119626,2.4166666666666665,3.0,22.0,0
14400,8.59,455.18,4,1970-01-01 00:00:00.000000019,2016,8,90000.0,19.88,3.0,23,16615,49.9,152.0,13648.53,1912.21,0.0,1970-01-01 00:00:00.000000032,455.18,0.9478145833333332,6.25,7.0,5.0,0
5000,9.93,161.18,6,1970-01-01 00:00:00.000000031,2017,12,46750.0,11.09,0.0,30,5449,13.2,205.0,5064.7924929831,64.79,0.0,1970-01-01 00:00:00.000000031,1526.25,1.01295849859662,9.35,6.0,7.0,0
25600,8.81,529.06,4,1970-01-01 00:00:00.000000105,2018,11,35000.0,14.09,1.0,10,16184,76.0,187.0,1574.65,543.78,0.0,1970-01-01 00:00:00.000000032,529.06,0.061509765625,1.3671875,7.0,5.0,0
6550,24.74,259.53,22,1970-01-01 00:00:00.000000083,2017,3,42000.0,18.71,9.0,34,4751,60.9,124.0,8459.3397341582,1909.34,0.0,1970-01-01 00:00:00.000000016,4324.87,1.2915022494898016,6.412213740458015,3.0,23.0,0
12000,14.33,412.06,10,1970-01-01 00:00:00.000000005,2013,4,107499.0,1.55,10.0,13,3995,72.6,237.0,14827.3269855467,2827.33,0.0,1970-01-01 00:00:00.000000065,392.28,1.2356105821288916,8.95825,5.0,11.0,0
21000,17.99,759.1,16,1970-01-01 00:00:00.000000123,2016,9,85000.0,11.98,3.0,4,457,2.6,114.0,22049.64,6061.27,0.0,1970-01-01 00:00:00.000000032,759.1,1.049982857142857,4.047619047619048,4.0,17.0,0
15500,19.99,410.57,18,1970-01-01 00:00:00.000000123,2016,9,77500.0,19.09,5.0,19,30373,74.6,165.0,11889.32,6267.5,0.0,1970-01-01 00:00:00.000000032,410.57,0.7670529032258064,5.0,4.0,19.0,0
14750,24.99,432.85,28,1970-01-01 00:00:00.000000007,2015,4,160000.0,11.04,10.0,9,10118,40.8,214.0,11755.71,6395.66,1497.87,1970-01-01 00:00:00.000000066,432.85,0.7969972881355931,10.847457627118644,2.0,29.0,0
20000,7.89,404.48,4,1970-01-01 00:00:00.000000018,2015,8,72000.0,28.58,,26,126901,39.6,253.0,16979.39,3824.26,0.0,1970-01-01 00:00:00.000000032,404.48,0.8489694999999999,3.6,7.0,5.0,0
18000,7.99,563.98,3,1970-01-01 00:00:00.000000062,2016,7,150000.0,8.47,0.0,44,41021,87.0,283.0,20243.380006926,2243.38,0.0,1970-01-01 00:00:00.000000041,4424.87,1.124632222607,8.333333333333334,7.0,4.0,0
16000,8.24,503.16,5,1970-01-01 00:00:00.000000053,2017,1,115000.0,22.16,2.0,5,95340,87.0,147.0,12564.35,1877.52,0.0,1970-01-01 00:00:00.000000032,503.16,0.7852718750000001,7.1875,6.0,6.0,0
30000,17.86,759.52,19,1970-01-01 00:00:00.000000091,2015,5,70000.0,17.16,9.0,34,8285,39.3,195.0,40739.869618519,10739.87,0.0,1970-01-01 00:00:00.000000095,19510.66,1.3579956539506333,2.333333333333333,4.0,20.0,0
