loan_amnt,term_months,int_rate,installment,grade_ord,sub_grade_ord,emp_length_years,annual_inc,dti,revol_util,inq_last_6mths,open_acc,total_acc,issue_d_year,issue_d_month,earliest_cr_line_year,earliest_cr_line_month,credit_history_age_months,addr_state,loan_status,total_pymnt,total_rec_prncp
35000,36.0,12.12,1164.51,6.0,8.0,0.0,90000.0,3.51,8.1,0.0,14.0,22.0,2013.0,6.0,1997.0,11.0,187.0,TX,Fully Paid,36606.09,35000.0
30000,60.0,10.75,648.54,6.0,9.0,2.0,100000.0,22.85,52.7,2.0,17.0,25.0,2016.0,4.0,2011.0,6.0,58.0,TX,Current,22115.61,15012.34
15000,36.0,7.49,466.53,7.0,4.0,5.0,100000.0,6.71,10.3,0.0,16.0,25.0,2016.0,10.0,1996.0,4.0,246.0,MD,Fully Paid,16052.0529426592,15000.0
24000,60.0,21.15,651.31,3.0,22.0,5.0,58000.0,15.5,72.2,0.0,10.0,15.0,2013.0,9.0,1998.0,8.0,181.0,NC,Fully Paid,39078.3232394871,24000.0
14400,36.0,8.59,455.18,7.0,5.0,3.0,90000.0,19.88,49.9,0.0,19.0,48.0,2016.0,8.0,2003.0,12.0,152.0,MO,Current,13648.53,11736.32
5000,36.0,9.93,161.18,6.0,7.0,0.0,46750.0,11.09,13.2,1.0,8.0,11.0,2017.0,12.0,2000.0,11.0,205.0,NJ,Fully Paid,5064.7924929831,5000.0
25600,60.0,8.81,529.06,7.0,5.0,1.0,35000.0,14.09,76.0,0.0,4.0,9.0,2018.0,11.0,2003.0,4.0,187.0,GA,Current,1574.65,1030.87
6550,36.0,24.74,259.53,3.0,23.0,9.0,42000.0,18.71,60.9,3.0,3.0,8.0,2017.0,3.0,2006.0,11.0,124.0,OH,Fully Paid,8459.3397341582,6550.0
12000,36.0,14.33,412.06,5.0,11.0,10.0,107499.0,1.55,72.6,1.0,4.0,12.0,2013.0,4.0,1993.0,7.0,237.0,IL,Fully Paid,14827.3269855467,12000.0
21000,36.0,17.99,759.1,4.0,17.0,3.0,85000.0,11.98,2.6,0.0,10.0,19.0,2016.0,9.0,2007.0,3.0,114.0,CA,Current,22049.64,15988.37
15500,60.0,19.99,410.57,4.0,19.0,5.0,77500.0,19.09,74.6,0.0,9.0,27.0,2016.0,9.0,2002.0,12.0,165.0,MD,Current,11889.32,5621.82
14750,60.0,24.99,432.85,2.0,29.0,10.0,160000.0,11.04,40.8,2.0,26.0,53.0,2015.0,4.0,1997.0,6.0,214.0,FL,Charged Off,11755.71,3862.18
20000,60.0,7.89,404.48,7.0,5.0,1.0,72000.0,28.58,39.6,0.0,18.0,48.0,2015.0,8.0,1994.0,7.0,253.0,NC,Current,16979.39,13155.13
18000,36.0,7.99,563.98,7.0,4.0,0.0,150000.0,8.47,87.0,0.0,11.0,34.0,2016.0,7.0,1992.0,12.0,283.0,VA,Fully Paid,20243.380006926,18000.0
16000,36.0,8.24,503.16,6.0,6.0,2.0,115000.0,22.16,87.0,0.0,15.0,32.0,2017.0,1.0,2004.0,10.0,147.0,CO,Current,12564.35,10686.83
30000,60.0,17.86,759.52,4.0,20.0,9.0,70000.0,17.16,39.3,0.0,8.0,11.0,2015.0,5.0,1999.0,2.0,195.0,OH,Fully Paid,40739.869618519,30000.0
12000,36.0,13.18,405.37,5.0,13.0,4.0,50000.0,33.94,78.0,0.0,7.0,11.0,2015.0,11.0,1999.0,10.0,193.0,AL,Charged Off,11750.75,9281.66
5000,36.0,11.55,165.0,6.0,9.0,9.0,75000.0,25.71,0.9,3.0,9.0,21.0,2018.0,10.0,1991.0,1.0,333.0,GA,Current,656.79,474.29
35000,60.0,10.75,756.63,6.0,9.0,5.0,197000.0,19.05,63.0,3.0,10.0,28.0,2016.0,3.0,1998.0,11.0,208.0,CT,Current,26461.15,18120.22
25000,60.0,17.77,631.72,4.0,16.0,5.0,104000.0,16.7,75.3,3.0,13.0,33.0,2012.0,12.0,1994.0,3.0,225.0,CA,Fully Paid,35966.74,25000.0
16000,36.0,6.46,490.1,7.0,1.0,7.0,60000.0,23.2,40.6,0.0,7.0,22.0,2018.0,11.0,2003.0,9.0,182.0,KS,Current,1501.89,1218.44
6000,36.0,9.93,193.41,6.0,7.0,5.0,125000.0,6.44,0.4,0.0,4.0,8.0,2017.0,8.0,2006.0,12.0,128.0,CA,Fully Paid,6444.6756323045,6000.0
15000,60.0,9.43,314.52,6.0,6.0,2.0,62000.0,7.65,69.8,1.0,3.0,9.0,2018.0,4.0,2002.0,12.0,184.0,MD,Fully Paid,15734.2583650858,15000.0
26200,60.0,12.29,586.66,5.0,11.0,7.0,57000.0,21.45,18.1,0.0,23.0,40.0,2015.0,5.0,1996.0,6.0,227.0,TX,Fully Paid,29125.6,26200.0
11000,60.0,15.02,261.81,5.0,13.0,1.0,43837.0,31.07,9.3,1.0,7.0,23.0,2018.0,7.0,2003.0,12.0,175.0,TX,Current,1837.26,902.21
40000,60.0,20.0,1059.76,4.0,19.0,2.0,160000.0,31.97,65.7,0.0,19.0,46.0,2017.0,9.0,1995.0,10.0,263.0,TX,Charged Off,12628.23,5168.82
14000,36.0,12.05,465.34,5.0,11.0,5.0,40000.0,38.73,45.4,1.0,7.0,16.0,2015.0,11.0,2003.0,8.0,147.0,WI,Fully Paid,15782.7072301047,14000.0
5000,36.0,9.49,160.15,6.0,7.0,4.0,60000.0,20.02,28.2,0.0,12.0,21.0,2014.0,11.0,2000.0,10.0,169.0,GA,Fully Paid,5662.4800000101,5000.0
10000,60.0,10.99,217.38,6.0,9.0,10.0,34000.0,26.51,87.1,1.0,10.0,26.0,2015.0,5.0,1994.0,6.0,251.0,PA,Current,9766.84,6966.69
5100,36.0,11.49,168.16,6.0,10.0,5.0,15000.0,12.0,23.8,0.0,3.0,10.0,2016.0,11.0,2006.0,7.0,124.0,OR,Fully Paid,5658.5444631924,5100.0
38000,36.0,10.42,1233.66,6.0,8.0,10.0,200000.0,11.72,57.0,0.0,13.0,24.0,2018.0,2.0,1989.0,2.0,348.0,PA,Current,14781.92,11377.51
5800,36.0,19.99,215.52,3.0,21.0,1.0,37000.0,11.29,95.8,3.0,7.0,18.0,2014.0,5.0,2000.0,8.0,165.0,MT,Fully Paid,7430.7800011639,5800.0
14400,60.0,19.03,373.79,4.0,18.0,1.0,40000.0,33.15,16.5,0.0,5.0,13.0,2017.0,9.0,2011.0,10.0,71.0,FL,Fully Paid,16282.9235472536,14400.0
9000,36.0,11.53,296.92,6.0,10.0,3.0,57000.0,21.18,39.8,0.0,10.0,21.0,2015.0,4.0,2000.0,8.0,176.0,NM,Fully Paid,10683.038576757,9000.0
30000,36.0,10.99,982.02,6.0,7.0,10.0,165000.0,13.37,49.6,1.0,10.0,37.0,2014.0,2.0,1986.0,10.0,328.0,TN,Fully Paid,35352.6966947654,30000.0
5000,36.0,7.69,155.97,7.0,4.0,3.0,45760.0,12.17,31.6,1.0,10.0,12.0,2014.0,10.0,1997.0,12.0,202.0,FL,Fully Paid,5612.6898945997,5000.0
29900,36.0,19.03,1096.47,4.0,18.0,10.0,65000.0,16.78,90.2,0.0,10.0,18.0,2017.0,6.0,1999.0,4.0,218.0,NC,Current,21976.82,14512.25
29000,60.0,10.99,630.39,6.0,9.0,5.0,185000.0,28.17,77.3,2.0,18.0,44.0,2015.0,7.0,1993.0,11.0,260.0,PA,Current,27089.06,19118.01
4000,36.0,13.99,136.7,5.0,13.0,10.0,114000.0,19.13,98.2,0.0,10.0,20.0,2017.0,1.0,1994.0,7.0,270.0,CA,Fully Paid,4657.9908777558,4000.0
15000,60.0,11.99,333.6,6.0,10.0,2.0,60000.0,8.06,12.7,0.0,7.0,13.0,2017.0,12.0,2006.0,11.0,133.0,NY,Fully Paid,16330.0384418668,15000.0
24000,60.0,13.33,550.14,5.0,13.0,10.0,143000.0,16.88,88.0,0.0,16.0,37.0,2015.0,6.0,2003.0,9.0,141.0,MS,Fully Paid,29147.1283086014,24000.0
14400,36.0,6.72,442.79,7.0,3.0,1.0,93000.0,16.3,21.0,0.0,13.0,29.0,2018.0,1.0,1979.0,3.0,466.0,MO,Current,5750.89,4869.43
10000,36.0,12.99,336.9,5.0,12.0,10.0,80000.0,17.24,69.2,1.0,20.0,32.0,2016.0,4.0,2000.0,2.0,194.0,SC,Current,11747.38,9638.65
20400,36.0,15.99,717.11,5.0,15.0,3.0,93000.0,15.12,50.8,0.0,8.0,11.0,2017.0,5.0,2003.0,5.0,168.0,IL,Current,15023.07,10708.64
14400,36.0,6.72,442.79,7.0,3.0,10.0,87000.0,11.9,40.9,0.0,10.0,22.0,2017.0,12.0,1999.0,2.0,226.0,CA,Current,6193.68,5258.85
32000,60.0,15.61,771.57,4.0,16.0,9.0,122000.0,4.03,48.4,0.0,4.0,12.0,2015.0,10.0,2005.0,9.0,121.0,TX,Fully Paid,41860.4994482496,32000.0
27500,60.0,13.33,630.37,5.0,13.0,1.0,80000.0,17.04,50.3,0.0,7.0,16.0,2015.0,10.0,1999.0,9.0,193.0,IL,Current,25174.07,16250.92
8000,36.0,11.06,262.14,6.0,8.0,10.0,42500.0,9.26,32.6,1.0,11.0,15.0,2018.0,9.0,2003.0,2.0,187.0,TX,Current,1305.78,959.2
15050,60.0,16.29,368.31,4.0,17.0,10.0,57000.0,29.16,39.6,0.0,17.0,44.0,2014.0,8.0,2003.0,6.0,134.0,NY,Fully Paid,21300.4129489837,15050.0
5000,36.0,12.29,166.77,5.0,11.0,1.0,77250.0,14.28,7.7,0.0,11.0,27.0,2015.0,10.0,1983.0,3.0,391.0,VA,Fully Paid,5693.1433466365,5000.0
8400,36.0,11.06,275.25,6.0,8.0,7.0,52000.0,11.08,21.5,1.0,13.0,20.0,2018.0,8.0,2004.0,11.0,165.0,FL,Current,2141.18,1736.55
16000,36.0,15.61,559.44,4.0,16.0,10.0,135000.0,15.03,88.4,0.0,8.0,26.0,2015.0,10.0,2000.0,11.0,179.0,NY,Fully Paid,20153.5659804246,16000.0
2000,36.0,13.58,67.95,5.0,12.0,2.0,28000.0,18.47,31.3,0.0,4.0,20.0,2018.0,4.0,2009.0,7.0,105.0,FL,Charged Off,279.78,183.9
4000,36.0,14.33,137.36,5.0,15.0,1.0,22000.0,5.46,9.7,0.0,6.0,8.0,2015.0,11.0,2005.0,12.0,119.0,IL,Fully Paid,4402.3688940006,4000.0
24000,36.0,19.99,891.81,4.0,19.0,2.0,50000.0,26.34,1.6,0.0,16.0,23.0,2016.0,12.0,1997.0,5.0,235.0,FL,Charged Off,13181.77,6476.25
19700,60.0,16.99,489.49,4.0,18.0,3.0,56160.0,19.52,74.5,0.0,8.0,20.0,2014.0,7.0,2001.0,8.0,155.0,CA,Fully Paid,27503.4832732122,19700.0
8000,36.0,18.24,290.19,4.0,20.0,3.0,50000.0,13.15,45.8,1.0,3.0,4.0,2014.0,8.0,2000.0,8.0,168.0,CA,Fully Paid,10443.0472632108,8000.0
12000,36.0,26.49,486.63,2.0,27.0,5.0,43000.0,20.23,65.5,1.0,12.0,18.0,2016.0,8.0,2006.0,10.0,118.0,NY,Charged Off,8991.02,4007.81
18000,60.0,20.49,481.82,3.0,22.0,5.0,50000.0,8.74,57.6,1.0,11.0,25.0,2014.0,3.0,1992.0,8.0,259.0,AR,Charged Off,12867.19,5122.36
7000,36.0,8.39,220.62,7.0,5.0,1.0,40000.0,19.74,72.4,0.0,7.0,23.0,2014.0,8.0,2001.0,11.0,153.0,NJ,Fully Paid,7942.1626996733,7000.0
20000,60.0,18.25,510.6,3.0,21.0,1.0,55000.0,29.74,61.6,0.0,17.0,28.0,2015.0,9.0,2004.0,10.0,131.0,CA,Charged Off,13331.91,6221.0
20000,36.0,14.99,693.21,5.0,14.0,10.0,62000.0,20.36,75.8,0.0,6.0,13.0,2017.0,1.0,2001.0,11.0,182.0,OH,Fully Paid,23516.6362580377,20000.0
30000,60.0,15.05,714.49,5.0,14.0,5.0,100000.0,23.86,57.0,0.0,23.0,35.0,2017.0,7.0,2002.0,6.0,181.0,CA,Current,12835.74,6782.89
35000,60.0,13.56,806.43,5.0,11.0,6.0,200000.0,12.32,76.0,0.0,14.0,31.0,2018.0,11.0,2001.0,3.0,212.0,NJ,Current,2275.21,1246.78
7200,36.0,19.92,267.29,4.0,18.0,3.0,60000.0,22.88,38.9,1.0,14.0,18.0,2018.0,7.0,2008.0,1.0,126.0,OK,Current,1855.09,1087.35
20000,60.0,15.59,482.02,4.0,16.0,10.0,69000.0,10.73,80.4,0.0,7.0,30.0,2015.0,2.0,1997.0,5.0,213.0,UT,Current,23102.32,14676.37
19000,36.0,8.9,603.32,7.0,5.0,10.0,82000.0,18.38,8.4,0.0,12.0,25.0,2014.0,2.0,1994.0,9.0,233.0,OH,Fully Paid,21599.6600132541,19000.0
25000,60.0,15.61,602.79,5.0,14.0,10.0,55000.0,20.59,43.9,2.0,9.0,19.0,2014.0,2.0,1991.0,3.0,275.0,RI,Fully Paid,35323.2940196902,25000.0
5350,36.0,18.2,193.96,3.0,21.0,1.0,65000.0,7.27,40.0,1.0,16.0,31.0,2015.0,12.0,1997.0,7.0,221.0,OR,Fully Paid,6985.3927289906,5350.0
29900,60.0,18.99,775.46,4.0,19.0,10.0,65000.0,20.16,73.0,1.0,8.0,36.0,2016.0,2.0,1996.0,9.0,233.0,LA,In Grace Period,27109.56,13991.47
12000,60.0,13.59,276.68,5.0,12.0,8.0,75000.0,14.42,84.2,0.0,15.0,22.0,2017.0,6.0,2002.0,4.0,182.0,CT,Current,5565.43,3137.09
25000,36.0,21.98,954.51,3.0,24.0,1.0,85000.0,11.02,76.0,0.0,11.0,19.0,2012.0,9.0,1999.0,4.0,161.0,NY,Fully Paid,34361.9916689379,25000.0
15000,36.0,15.05,520.35,5.0,14.0,5.0,55000.0,11.52,33.1,3.0,10.0,16.0,2017.0,7.0,2011.0,2.0,77.0,MI,Current,9874.11,7078.05
7750,36.0,17.77,279.29,4.0,16.0,3.0,60000.0,3.76,74.1,0.0,5.0,11.0,2013.0,6.0,2004.0,1.0,113.0,MA,Fully Paid,9967.1700019955,7750.0
20000,36.0,9.92,644.6,6.0,7.0,3.0,50000.0,28.13,50.6,0.0,8.0,24.0,2018.0,5.0,2003.0,9.0,176.0,MN,Fully Paid,20769.6546788713,20000.0
2300,36.0,16.14,81.03,5.0,14.0,4.0,26650.0,6.53,31.9,0.0,11.0,12.0,2018.0,12.0,2006.0,10.0,146.0,NJ,Current,157.94,100.86
30000,60.0,25.81,894.85,3.0,24.0,1.0,103500.0,28.46,31.1,0.0,23.0,34.0,2018.0,3.0,2005.0,10.0,149.0,KS,Current,9800.33,3054.08
21000,36.0,10.75,685.03,6.0,9.0,3.0,170000.0,13.66,35.5,0.0,12.0,32.0,2016.0,5.0,2001.0,4.0,181.0,GA,Current,22612.11,18981.22
35000,36.0,15.59,1223.43,5.0,15.0,10.0,140000.0,23.97,53.6,1.0,21.0,33.0,2016.0,10.0,1998.0,4.0,222.0,NJ,Current,34225.73,25758.32
12000,36.0,15.88,421.18,5.0,14.0,3.0,88000.0,23.74,51.9,2.0,11.0,31.0,2013.0,8.0,1999.0,7.0,169.0,AZ,Fully Paid,14806.34,12000.0
10000,60.0,13.56,230.41,5.0,11.0,10.0,93000.0,28.46,57.1,0.0,18.0,34.0,2018.0,10.0,1985.0,8.0,398.0,MO,Current,914.11,477.66
7200,36.0,10.42,233.75,6.0,8.0,0.0,25000.0,14.79,22.8,0.0,11.0,20.0,2018.0,2.0,2004.0,10.0,160.0,HI,Current,2796.66,2155.79
6500,36.0,10.49,211.24,6.0,8.0,10.0,69500.0,9.54,68.5,0.0,5.0,6.0,2016.0,8.0,2005.0,4.0,136.0,CO,Fully Paid,7358.2834445598,6500.0
25000,60.0,25.57,742.17,2.0,30.0,10.0,79000.0,17.47,13.4,4.0,14.0,28.0,2015.0,2.0,2004.0,6.0,128.0,FL,Charged Off,11884.76,3099.84
25000,36.0,12.74,839.23,5.0,11.0,10.0,80000.0,21.9,64.9,0.0,7.0,15.0,2017.0,3.0,2005.0,9.0,138.0,CO,Fully Paid,27278.0894338258,25000.0
4400,36.0,11.39,144.87,6.0,8.0,10.0,55000.0,13.05,61.8,0.0,8.0,24.0,2016.0,12.0,1992.0,5.0,295.0,NY,Fully Paid,4907.50058503,4400.0
10000,60.0,19.72,263.39,4.0,20.0,4.0,50000.0,25.51,90.5,3.0,6.0,16.0,2012.0,9.0,2002.0,6.0,123.0,KS,Fully Paid,15826.5620483188,10000.0
28000,36.0,11.55,924.0,6.0,9.0,6.0,70000.0,11.31,76.5,0.0,8.0,23.0,2018.0,7.0,2000.0,8.0,215.0,FL,Current,6432.07,4715.93
15000,36.0,10.49,487.47,6.0,7.0,1.0,38200.0,28.34,36.7,0.0,11.0,18.0,2017.0,3.0,2004.0,10.0,149.0,GA,Fully Paid,15681.7804026413,15000.0
15000,36.0,15.02,520.13,5.0,13.0,10.0,60000.0,19.31,48.6,0.0,7.0,16.0,2018.0,10.0,1995.0,3.0,283.0,NJ,Current,1547.87,1009.67
6225,36.0,16.99,221.91,4.0,18.0,10.0,70000.0,13.96,2.4,0.0,3.0,15.0,2014.0,10.0,2000.0,8.0,170.0,NY,Fully Paid,7474.4200001659,6225.0
2975,36.0,18.49,108.29,3.0,22.0,4.0,25000.0,16.61,8.8,3.0,6.0,12.0,2015.0,11.0,2005.0,2.0,129.0,CA,Fully Paid,3099.12,2975.0
10000,60.0,14.46,235.08,5.0,14.0,10.0,66000.0,21.53,72.5,0.0,7.0,19.0,2016.0,4.0,2005.0,3.0,133.0,CA,Fully Paid,11369.305923428,10000.0
19375,36.0,16.99,690.68,4.0,18.0,10.0,50326.0,36.99,78.4,2.0,10.0,15.0,2015.0,2.0,2005.0,6.0,116.0,CT,Charged Off,22774.15,17360.49
8000,36.0,7.02,247.09,7.0,2.0,10.0,65000.0,7.53,15.8,1.0,8.0,10.0,2018.0,12.0,2005.0,1.0,167.0,IN,Current,491.06,401.75
18000,60.0,11.49,395.78,6.0,10.0,10.0,207000.0,20.6,59.6,3.0,12.0,27.0,2016.0,9.0,1988.0,8.0,337.0,MA,Current,11466.13,7427.78
